N de Orden;Descripcion Ubicacion Tí©cnica;Descripcion Operacion
6000272;LASCANO 3401-3450 Calzada;
6000272;LASCANO 3401-3450 Calzada;
6000272;LASCANO 3401-3450 Calzada;
6000272;LASCANO 3401-3450 Calzada;
6000272;LASCANO 3401-3450 Calzada;6.A.Provisií_n y colocacií_n de material a
6000275;HUMBOLDT 2201-2300 Calzada;
6000275;HUMBOLDT 2201-2300 Calzada;
6000275;HUMBOLDT 2201-2300 Calzada;
6000275;HUMBOLDT 2201-2300 Calzada;
6000275;HUMBOLDT 2201-2300 Calzada;
6000275;HUMBOLDT 2201-2300 Calzada;
6000275;HUMBOLDT 2201-2300 Calzada;
6000275;HUMBOLDT 2201-2300 Calzada;
6000275;HUMBOLDT 2201-2300 Calzada;
6000275;HUMBOLDT 2201-2300 Calzada;
6000275;HUMBOLDT 2201-2300 Calzada;
6000275;HUMBOLDT 2201-2300 Calzada;
6000275;HUMBOLDT 2201-2300 Calzada;11.A.Cierre de Aperturas de Servicios Pu
6000292;CONCORDIA 2501-2600 Calzada;
6000292;CONCORDIA 2501-2600 Calzada;
6000292;CONCORDIA 2501-2600 Calzada;
6000292;CONCORDIA 2501-2600 Calzada;11.A.Cierre de Aperturas de Servicios Pu
6000541;TREVERIS 2501-2600 Calzada;
6000541;TREVERIS 2501-2600 Calzada;
6000541;TREVERIS 2501-2600 Calzada;"Prov. Coloc. Mat. Asf. Incluye limpieza					0.000	0.000		0.000	0.000	0.00	0.00		00000	20130128	20130128	000010068559	CO			000006037738	CAME"
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;10.1.Demarcacií_n horizontal. Pintura ter
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;10.2.Demarcacií_n horizontal. Pintura acr
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;2.A.Levantamiento y retiro de materiales
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;2.B.Levantamiento y retiro de materiales
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;2.C.Levantamiento y retiro de materiales
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;2.D.Levantamiento y retiro de materiales
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;3.B.Movimiento de suelo. Saniamiento inc
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;3.C.Movimiento de suelos.  Saniamiento a
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;4.A.Levantamiento y recoleccií_n. Pavimen
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;4.B.a.Levantamiento y recolocacií_n de co
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;4.B.b.Levantamiento y recolocacií_n de co
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;5.A.Construccií_n de sub bases y bases. D
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;5.B.a.Construccií_n de sub bases y bases
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;5.B.b.Construccií_n de sub bases y bases
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;6.A.Provisií_n y colocacií_n de material a
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;6.B.Provisií_n y colocacií_n de material a
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;6.C.Provisií_n y colocacií_n de material a
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;6.D.Provisií_n y colocacií_n de material a
6000775;FERNANDEZ DE LA CRUZ 6401-6500 Calzada;6.E.Provisií_n y colocacií_n de material a
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;10.2.Demarcacií_n horizontal. Pintura acr
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;2.A.Levantamiento y retiro de materiales
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;2.B.Levantamiento y retiro de materiales
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;2.C.Levantamiento y retiro de materiales
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;2.D.Levantamiento y retiro de materiales
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;3.A.Movimiento de suelos. Excavacií_n de
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;3.B.Movimiento de suelo. Saniamiento inc
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;3.C.Movimiento de suelos.  Saniamiento a
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;4.A.Levantamiento y recoleccií_n. Pavimen
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;4.B.a.Levantamiento y recolocacií_n de co
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;4.B.b.Levantamiento y recolocacií_n de co
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;5.A.Construccií_n de sub bases y bases. D
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;5.B.a.Construccií_n de sub bases y bases
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;5.B.b.Construccií_n de sub bases y bases
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;6.A.Provisií_n y colocacií_n de material a
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;6.B.Provisií_n y colocacií_n de material a
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;6.C.Provisií_n y colocacií_n de material a
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;6.D.Provisií_n y colocacií_n de material a
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;6.E.Provisií_n y colocacií_n de material a
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;6.F.Provisií_n y colocacií_n de material a
6000791;RABANAL, FRANCISCO AV. 3201-3299 Cal;6.G.Provisií_n y colocacií_n de material a
6000818;TORRENT 1352-1400 Calzada;"Prov. Coloc. Mat. Asf. Incluye limpieza					0.000	0.000		0.000	0.000	0.00	0.00		00000	20130128	20130128	S01157527/11	SU			000006037739	CAME"
6001144;GUAYAQUIL 1-100 Calzada;
6001144;GUAYAQUIL 1-100 Calzada;
6001144;GUAYAQUIL 1-100 Calzada;"Prov. Coloc. Mat. Asf. Incluye limpieza					0.000	0.000		0.000	0.000	0.00	0.00		00000	20130128	20130128	B2710200720	EM			000006037761	CAME"
6001146;PIZARRO 7451-7472 Calzada;1. Provisií_n y aplicacií_n de material te
6001399;AZCUENAGA 1-99 Acera Impar;"Prov. Coloc. Mat. Asf. Incluye limpieza					0.000	0.000		0.000	0.000	0.00	0.00		00000	20130128	20130128	000010100997	OF			000006037760	CAME"
6001422;GARCIA, MANUEL J., ALTE. 1002-1100  Par;
6001422;GARCIA, MANUEL J., ALTE. 1002-1100  Par;
6001422;GARCIA, MANUEL J., ALTE. 1002-1100  Par;
6001422;GARCIA, MANUEL J., ALTE. 1002-1100  Par;
6001422;GARCIA, MANUEL J., ALTE. 1002-1100  Par;
6001422;GARCIA, MANUEL J., ALTE. 1002-1100  Par;
6001422;GARCIA, MANUEL J., ALTE. 1002-1100  Par;
6001422;GARCIA, MANUEL J., ALTE. 1002-1100  Par;
6001422;GARCIA, MANUEL J., ALTE. 1002-1100  Par;11.A.Cierre de Aperturas de Servicios Pu
6001475;ARTILLEROS 2001-2100 Calzada;Levantamiento, recoleccion y nivelacion
6001497;PEREZ, ROQUE 2802-2900 Acera Par;Prov. Coloc. Mat. Asf. Incluye limpieza
6001497;PEREZ, ROQUE 2802-2900 Acera Par;11.A.Cierre de Aperturas de Servicios Pu
6001497;PEREZ, ROQUE 2802-2900 Acera Par;12.A.Bacheo superficial con carpeta tipo
6001509;ARANGUREN, JUAN F, Dr. 3501-3600 Calzada;
6001509;ARANGUREN, JUAN F, Dr. 3501-3600 Calzada;
6001509;ARANGUREN, JUAN F, Dr. 3501-3600 Calzada;
6001509;ARANGUREN, JUAN F, Dr. 3501-3600 Calzada;
6001509;ARANGUREN, JUAN F, Dr. 3501-3600 Calzada;11.A.Cierre de Aperturas de Servicios Pu
6001511;VIEL 301-400 Calzada;1. Provisií_n y aplicacií_n de material te
6001539;MERCEDES 4901-5000 Calzada;
6001539;MERCEDES 4901-5000 Calzada;
6001539;MERCEDES 4901-5000 Calzada;
6001539;MERCEDES 4901-5000 Calzada;
6001539;MERCEDES 4901-5000 Calzada;
6001539;MERCEDES 4901-5000 Calzada;
6001539;MERCEDES 4901-5000 Calzada;
6001539;MERCEDES 4901-5000 Calzada;
6001539;MERCEDES 4901-5000 Calzada;Cierre de aperturas de empresas de servi
6001540;VIALE, LUIS 1701-1800 Calzada;
6001540;VIALE, LUIS 1701-1800 Calzada;6.A.Provisií_n y colocacií_n de material a
6001543;LADINES 3501-3553 Calzada;
6001543;LADINES 3501-3553 Calzada;
6001543;LADINES 3501-3553 Calzada;6.A.Provisií_n y colocacií_n de material a
6001547;ACASSUSO 5301-5400 Calzada;
6001547;ACASSUSO 5301-5400 Calzada;
6001547;ACASSUSO 5301-5400 Calzada;
6001547;ACASSUSO 5301-5400 Calzada;
6001547;ACASSUSO 5301-5400 Calzada;
6001547;ACASSUSO 5301-5400 Calzada;11.A.Cierre de Aperturas de Servicios Pu
6001548;AVELLANEDA AV. 3401-3500 Calzada;
6001548;AVELLANEDA AV. 3401-3500 Calzada;
6001548;AVELLANEDA AV. 3401-3500 Calzada;
6001548;AVELLANEDA AV. 3401-3500 Calzada;11.A.Cierre de Aperturas de Servicios Pu
6001550;HUNGRIA 1101-1200 Calzada;
6001550;HUNGRIA 1101-1200 Calzada;
6001550;HUNGRIA 1101-1200 Calzada;
6001550;HUNGRIA 1101-1200 Calzada;
6001550;HUNGRIA 1101-1200 Calzada;
6001550;HUNGRIA 1101-1200 Calzada;11.A.Cierre de Aperturas de Servicios Pu
6001551;BASUALDO 201-300 Calzada;
6001551;BASUALDO 201-300 Calzada;
6001551;BASUALDO 201-300 Calzada;
6001551;BASUALDO 201-300 Calzada;
6001551;BASUALDO 201-300 Calzada;
6001551;BASUALDO 201-300 Calzada;
6001551;BASUALDO 201-300 Calzada;
6001551;BASUALDO 201-300 Calzada;
6001551;BASUALDO 201-300 Calzada;12.A.Bacheo superficial con carpeta tipo
6001618;ALBERDI, JUAN AV. 1001-1100 Calzada;1. Provisií_n y aplicacií_n de material te
6001620;ALBERDI, JUAN AV. 1002-1100 Acera Par;
6001620;ALBERDI, JUAN AV. 1002-1100 Acera Par;
6001620;ALBERDI, JUAN AV. 1002-1100 Acera Par;
6001620;ALBERDI, JUAN AV. 1002-1100 Acera Par;
6001620;ALBERDI, JUAN AV. 1002-1100 Acera Par;
6001620;ALBERDI, JUAN AV. 1002-1100 Acera Par;
6001620;ALBERDI, JUAN AV. 1002-1100 Acera Par;
6001620;ALBERDI, JUAN AV. 1002-1100 Acera Par;6.A.Provisií_n y colocacií_n de material a
6001621;GUAYAQUIL 401-500 Calzada;1. Provisií_n y aplicacií_n de material te
6001633;MANZONI PARCELA 300;
6001633;MANZONI PARCELA 300;
6001633;MANZONI PARCELA 300;
6001633;MANZONI PARCELA 300;12.A.Bacheo superficial con carpeta tipo
6001636;MIRANDA 5701-5800 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6001645;MOCTEZUMA 1451-1500 Calzada;
6001645;MOCTEZUMA 1451-1500 Calzada;2.B.Levantamiento y retiro de materiales
6001646;ZELADA 4701-4800 Calzada;12.A.Bacheo superficial con carpeta tipo
6001656;BONIFACIO, JOSE 3301-3400 Calzada;2.C.Levantamiento y retiro de materiales
6001656;BONIFACIO, JOSE 3301-3400 Calzada;2.C.Levantamiento y retiro de materiales
6001656;BONIFACIO, JOSE 3301-3400 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6001656;BONIFACIO, JOSE 3301-3400 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6001656;BONIFACIO, JOSE 3301-3400 Calzada;3.B.Movimiento de suelo. Saniamiento inc
6001656;BONIFACIO, JOSE 3301-3400 Calzada;3.B.Movimiento de suelo. Saniamiento inc
6001656;BONIFACIO, JOSE 3301-3400 Calzada;5.A.Construccií_n de sub bases y bases. D
6001656;BONIFACIO, JOSE 3301-3400 Calzada;5.A.Construccií_n de sub bases y bases. D
6001656;BONIFACIO, JOSE 3301-3400 Calzada;7.A.Construccií_n y/o reparacií_n de pavim
6001656;BONIFACIO, JOSE 3301-3400 Calzada;7.A.Construccií_n y/o reparacií_n de pavim
6001657;BONIFACIO, JOSE 3401-3500 Calzada;2.C.Levantamiento y retiro de materiales
6001657;BONIFACIO, JOSE 3401-3500 Calzada;2.C.Levantamiento y retiro de materiales
6001657;BONIFACIO, JOSE 3401-3500 Calzada;2.C.Levantamiento y retiro de materiales
6001657;BONIFACIO, JOSE 3401-3500 Calzada;2.C.Levantamiento y retiro de materiales
6001657;BONIFACIO, JOSE 3401-3500 Calzada;2.C.Levantamiento y retiro de materiales
6001657;BONIFACIO, JOSE 3401-3500 Calzada;2.C.Levantamiento y retiro de materiales
6001657;BONIFACIO, JOSE 3401-3500 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6001657;BONIFACIO, JOSE 3401-3500 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6001657;BONIFACIO, JOSE 3401-3500 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6001657;BONIFACIO, JOSE 3401-3500 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6001657;BONIFACIO, JOSE 3401-3500 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6001657;BONIFACIO, JOSE 3401-3500 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6001657;BONIFACIO, JOSE 3401-3500 Calzada;3.B.Movimiento de suelo. Saniamiento inc
6001657;BONIFACIO, JOSE 3401-3500 Calzada;3.B.Movimiento de suelo. Saniamiento inc
6001657;BONIFACIO, JOSE 3401-3500 Calzada;3.B.Movimiento de suelo. Saniamiento inc
6001657;BONIFACIO, JOSE 3401-3500 Calzada;3.B.Movimiento de suelo. Saniamiento inc
6001657;BONIFACIO, JOSE 3401-3500 Calzada;5.A.Construccií_n de sub bases y bases. D
6001657;BONIFACIO, JOSE 3401-3500 Calzada;5.A.Construccií_n de sub bases y bases. D
6001657;BONIFACIO, JOSE 3401-3500 Calzada;5.A.Construccií_n de sub bases y bases. D
